textfilename,processed,processing_date,output_json
42011,True,2024-09-16 18:36:49.038342,42011.json
37413,True,2024-09-16 18:37:07.068340,37413.json
2249,True,2024-09-16 18:37:26.355550,2249.json
42011,True,2024-09-16 18:50:07.496772,42011.json
37413,True,2024-09-16 18:50:36.825300,37413.json
2249,True,2024-09-16 18:50:59.925958,2249.json
42011,True,2024-09-16 20:29:49.718370,42011.json
37413,True,2024-09-16 20:30:37.662844,37413.json
2249,True,2024-09-16 20:30:58.751387,2249.json
42011,True,2024-09-16 20:33:35.476925,42011.json
37413,True,2024-09-16 20:34:20.420530,37413.json
2249,True,2024-09-16 20:34:38.549671,2249.json
42011,True,2024-09-16 20:37:59.868793,42011.json
37413,True,2024-09-16 20:38:31.526139,37413.json
2249,True,2024-09-16 20:38:44.746361,2249.json
30114,True,2024-09-16 21:06:07.072269,30114.json
53692,True,2024-09-16 22:02:43.801914,53692.json
3929,True,2024-09-16 22:03:25.755885,3929.json
38067,True,2024-09-16 22:04:03.268131,38067.json
39002,True,2024-09-16 22:17:30.788974,39002.json
39002,True,2024-09-16 22:22:17.283665,39002.json
39002,True,2024-09-16 22:24:14.798655,39002.json
51551,True,2024-09-16 22:45:05.251951,51551.json
28897,True,2024-09-16 22:47:06.769322,28897.json
53778,True,2024-09-16 22:47:49.965971,53778.json
51551,True,2024-09-16 23:49:14.482061,51551.json
28897,True,2024-09-16 23:50:35.788633,28897.json
53778,True,2024-09-16 23:50:53.338977,53778.json
51551,True,2024-09-16 23:53:02.250209,51551.json
28897,True,2024-09-16 23:53:55.375788,28897.json
53778,True,2024-09-16 23:54:12.716939,53778.json
33922,True,2024-09-17 03:13:45.181227,33922.json
3258,True,2024-09-17 03:14:23.196976,3258.json
46901,True,2024-09-17 03:15:00.199830,46901.json
25678,True,2024-09-20 20:27:15.437930,25678.json
3778,True,2024-09-20 20:27:50.299194,3778.json
2702,True,2024-09-20 20:28:43.854531,2702.json
50837,True,2024-09-20 20:49:43.082046,50837.json
41393,True,2024-09-20 20:50:44.879127,41393.json
55053,True,2024-09-20 20:53:05.008408,55053.json
55613,True,2024-09-20 21:03:20.589737,55613.json
37672,True,2024-09-20 21:09:42.356140,37672.json
39377,True,2024-09-20 21:10:39.544201,39377.json
625,True,2024-09-20 21:20:14.796244,625.json
625,True,2024-09-20 21:31:15.940378,625.json
pages2textstrings2,True,2024-09-20 21:37:08.303690,pages2textstrings2.json
pages2textstrings3,True,2024-09-20 21:37:14.607270,pages2textstrings3.json
53531,True,2024-09-20 23:21:12.816970,53531.json
57041,True,2024-09-20 23:21:59.832855,57041.json
47039,True,2024-09-20 23:24:31.722227,47039.json
42557,True,2024-09-20 23:31:34.553073,42557.json
42557,True,2024-09-20 23:39:45.348979,42557.json
5983,True,2024-09-20 23:51:05.401646,5983.json
56005,True,2024-09-21 00:00:04.671749,56005.json
9239,True,2024-09-21 00:03:57.026521,9239.json
39123,True,2024-09-21 00:05:49.970405,39123.json
3440,True,2024-09-21 00:15:06.416727,3440.json
34082,True,2024-09-21 00:45:42.882172,34082.json
34082,True,2024-09-21 00:59:49.605895,34082.json
34082,True,2024-09-21 04:23:48.492130,34082.json
37404,True,2024-09-21 04:29:55.123442,37404.json
37404,True,2024-09-21 08:18:16.454735,37404.json
6519,True,2024-09-21 09:05:05.273907,6519.json
1472,True,2024-09-21 09:05:52.610903,1472.json
38926,True,2024-09-21 09:08:04.513118,38926.json
35761,True,2024-09-21 09:27:43.109927,35761.json
35761,True,2024-09-21 16:46:13.562398,35761.json
41269,True,2024-09-22 02:59:23.738887,41269.json
41269,True,2024-09-22 05:24:47.617386,41269.json
18575,True,2024-09-22 05:32:18.581597,18575.json
18575,True,2024-09-22 06:31:38.440148,18575.json
3119,True,2024-09-22 21:05:41.798512,3119.json
3710,True,2024-09-22 21:05:47.364394,3710.json
4903,True,2024-09-22 21:06:23.566414,4903.json
9817,True,2024-09-22 21:34:00.248568,9817.json
292,True,2024-09-22 21:39:20.850041,292.json
46668,True,2024-09-22 21:45:50.865049,46668.json
9790,True,2024-09-22 21:53:19.528621,9790.json
47723,True,2024-09-22 21:54:33.863822,47723.json
10724,True,2024-09-22 21:58:42.024153,10724.json
25215,True,2024-09-22 21:59:48.014868,25215.json
44964,True,2024-09-22 22:05:22.775528,44964.json
54811,True,2024-09-22 22:15:33.645167,54811.json
9079,True,2024-09-22 22:23:01.116628,9079.json
56077,True,2024-09-22 22:30:30.375309,56077.json
27109,True,2024-09-22 22:36:02.622290,27109.json
10804,True,2024-09-22 22:44:31.406936,10804.json
36654,True,2024-09-22 22:51:14.577029,36654.json
