ISBN,Title,Author,Format,Gross Qty,Returned Qty,Net Qty,Net Compensation,Sales Market
9.78161E+12,Capital Ships of the Imperial Japanese Navy 1868-1945: The Yamato Class and Subsequent Planning,"Lengerer, Hans",Hardcover,952,0,1000,11768.71,US
9.78161E+12,Imperial Japanese Navy 1932-1945 Warships and Colours: With Japanese Army Vessels and Three Special Bonus Pages,"Wright, Malcolm",Hardcover,432,0,432,10592.64,US
9.78161E+12,The World Wonder'd: What Really Happened Off Samar,"Lundgren, Robert",Hardcover,950,0,950,7822,US
9.78161E+12,The Essential Saker: from the trenches of the emerging multipolar world,"The Saker,",Hardcover,1002,0,1002,7797.06,US
9.78193E+12,Building the PT Boats: An Illustrated History of U.S. Navy Torpedo Boat Construction in World War II,"Andruss Sr., Frank J.",Paperback,342,0,342,6631.53,US
9.78161E+12,Why the USS Scorpion (SSN 589) Was Lost: The Death of a Submarine in the North Atlantic,"Rule, Bruce",Hardcover,572,-1,571,5709.81,US
9.78161E+12,Empire of Chaos,"Escobar, Pepe",Hardcover,513,-1,512,4829.02,US
9.78193E+12,The Handbook of Fifth-Generation Warfare (5GW),"Abbott, Daniel H.",Hardcover,478,0,478,4311.78,US
9.78098E+12,GLOBALISTAN: An Antidote to THE WORLD IS FLAT,"Escobar, Pepe,",Paperback,184,0,184,3846.35,US
9.78161E+12,Imperial Japanese Navy 1932-1945 Warships and Colours: With Japanese Army Vessels and Three Special Bonus Pages,"Wright, Malcolm",Hardcover,107,0,107,3744.04,UK
9.78161E+12,Why the USS Thresher (SSN 593) Was Lost,"Rule, Bruce",Hardcover,551,0,551,3620.86,US
9.78161E+12,Department of Defense Law of War Manual,"Department of Defense, OGC",Hardcover,73,0,73,3140.07,US
9.78193E+12,Blood on Our Hands: The American Invasion and Destruction of Iraq,"Davies, Nicolas J. S.",Paperback,277,0,277,2826.33,US
9.78161E+12,Eurasia v. NATOstan,"Escobar, Pepe",Hardcover,283,-1,282,2775.29,US
9.78161E+12,The Essential Saker: from the trenches of the emerging multipolar world,"The Saker,",Hardcover,363,0,363,2744.68,UK
9.78161E+12,Spacepower: Doctrine for Space Forces,United States Space Force,Hardcover,362,0,362,2662.3,US
9.78161E+12,Eurasia v. NATOstan,"Escobar, Pepe",Paperback,294,0,294,2646,US
9.78161E+12,Navigation Rules and Regulations Handbook,Department of Homeland Security,Hardcover,418,-1,417,2635.42,US
9.78161E+12,Jane's Fighting Ships 1900 (facsimile edition),"Jane, Frederick T.",Paperback,47,-1,46,2387.88,US
9.78193E+12,"The John Boyd Roundtable: Debating Science, Strategy, and War","Safranski, Mark",Paperback,161,0,161,2171.38,US
9.78161E+12,Empire of Chaos,"Escobar, Pepe",Hardcover,246,0,246,2099.78,UK
9.78161E+12,PT Boats Behind The Scenes,"Andruss Sr., Frank J.",Hardcover,100,0,100,2067.37,US
9.78098E+12,GLOBALISTAN: An Antidote to THE WORLD IS FLAT,"Escobar, Pepe,",Paperback,140,0,140,1903.5,UK
9.78161E+12,Capital Ships of the Imperial Japanese Navy 1868-1945: The Yamato Class and Subsequent Planning,"Lengerer, Hans",Hardcover,128,0,128,1890.22,UK
9.78098E+12,Global Perspectives on Space Power,"Szymanski, Paul,",Hardcover,63,0,63,1734.63,US
9.78161E+12,The Royal Navy's Revenge and Other Little-Known Encounters of the War at Sea,"O'Hara, Vincent P.",Hardcover,168,0,168,1668.32,US
9.78161E+12,Pieces of History: Artifacts of the PT Boat Navy,"Andruss Sr., Frank J.",Hardcover,111,0,111,1647.6,US
9.78193E+12,Obama Does Globalistan,"Escobar, Pepe",Paperback,124,0,124,1601.01,US
9.78161E+12,Raging Twenties: Great Power Politics Meets Techno-Feudalism,"Escobar, Pepe",Hardcover,165,0,165,1543.45,US
9.78161E+12,FLEETS OF WORLD WAR II: Design History and Analysis for Every Ship of Every Navy (Revised Edition),"Worth, Richard",Hardcover,200,0,200,1530.11,US
9.78161E+12,Building the PT Boats: An Illustrated History of U.S. Navy Torpedo Boat Construction in World War II,"Andruss Sr., Frank, J.",Hardcover,71,0,71,1520.97,US
9.78161E+12,2030,"Escobar, Pepe",Paperback,292,0,292,1420.59,US
9.78161E+12,Report of Operation HighJump: U.S. Navy Antarctic Development Program 1947,U.S. Navy,Hardcover,193,0,193,1323.31,US
9.78161E+12,Battleship Victory: Principles of Sea Power in the War in the Pacific,"Lundgren, Robert",Hardcover,140,0,140,1303.71,US
9.78161E+12,The Art of War of Bernadotte,"Bernadotte, Jean-Baptiste",Paperback,217,0,217,1233.37,US
9.78161E+12,United States - Vietnam Relations 1945 - 1967 (The Pentagon Papers) (Volume 1),"Office of the Secretary of Defense,",Hardcover,53,0,53,1212.66,US
9.78193E+12,"Mastering Space War: The Advanced Strategies, Technologies, and Theories Needed For Victory","Szymanski, Paul",Hardcover,54,0,54,1164.24,US
9.78161E+12,"Amalgamated International and U.S. Inland Navigation Rules: Amalgamation of the International Regulations for Preventing Collisions at Sea and the U.S. Inland Navigation Rules, their Annexes, and associated Federal regulations",United States Coast Guard,Hardcover,262,0,262,1063.16,US
9.78161E+12,MTBSTC: Motor Torpedo Boat Squadrons Center,"Jones, Charles B.",Hardcover,57,0,57,949.78,US
9.78161E+12,Alien: How Operational Art Devoured Strategy,"Kelly, Justin",Paperback,95,0,95,906.35,US
9.78193E+12,Blood on Our Hands: The American Invasion and Destruction of Iraq,"Davies, Nicolas J. S.",Paperback,97,0,97,885.79,UK
9.78161E+12,"U.S. Patrol Torpedo Boats in World War II, 1939-1945","Connelly, T. Garth",Paperback,64,0,64,833.63,US
9.78161E+12,PT Boat Bases: Volume 1: Pacific,"Andruss Sr., Frank J.",Hardcover,67,0,67,828.79,US
9.78193E+12,The Handbook of Fifth-Generation Warfare (5GW),"Abbott, Daniel H.",Hardcover,109,0,109,814.21,UK
9.78161E+12,2030,"Escobar, Pepe",Paperback,262,0,262,797.56,UK
9.78193E+12,Principles of War,"Hapsburg, Archduke Charles von",Paperback,85,0,85,791.9,US
9.78161E+12,Halsey's Decision: Organizational Failure at Leyte Gulf,"Brooks, David L.",Paperback,152,0,152,775.06,US
9.78161E+12,European Axis Signal Intelligence in World War II,"National Security Agency,",Hardcover,15,0,15,770.22,US
9.78193E+12,The Unauthorized Harry Potter Quiz Book: 165 Questions Ranging from The Sorcerer's Stone to The Deathly Hallows,"Davis, Graeme",Paperback,54,0,54,760.33,US
9.78193E+12,Dark Navy: The Italian Regia Marina and the Armistice of 8 September 1943,"O'Hara, Vincent",Paperback,76,0,76,759.99,US
9.78193E+12,"BB-67 Montana, U.S. Navy Battleship: Why She Matters Today","Zimmerman, W. Frederick",Paperback,76,0,76,757.23,US
9.78161E+12,Rise of the Drones: Unmanned Systems and the Future of War,"U. S. House of Representatives, House Of",Paperback,70,0,70,695.69,US
9.78193E+12,Imperial Japanese Navy 1932-1945 Warships and Colours: With Japanese Army Vessels and Three Special Bonus Pages,"Wright, Malcolm",Paperback,72,0,72,695.52,US
9.78161E+12,The World Wonder'd: What Really Happened Off Samar,"Lundgren, Robert",Hardcover,104,0,104,666.51,UK
9.78161E+12,Eurasia v. NATOstan,"Escobar, Pepe",Hardcover,67,0,67,661.96,DE (Global Connect)
9.78161E+12,Eurasia v. NATOstan,"Escobar, Pepe",Hardcover,62,0,62,642.36,UK
9.78161E+12,Brave Just Like Me,"Ruff, Kimberly",Paperback,159,0,159,594,US
9.78161E+12,Football Nomad,"Radakovich, Dan",Hardcover,47,0,47,572.46,US
9.78161E+12,Historical Bibliography of Sea Mine Warfare,"Patterson, Andrew",Paperback,60,0,60,572.02,US
9.78193E+12,Obama Does Globalistan,"Escobar, Pepe",Paperback,46,0,46,563.94,UK
9.78193E+12,"The John Boyd Roundtable: Debating Science, Strategy, and War","Safranski, Mark",Paperback,84,0,84,562.74,UK
9.78161E+12,A Good and Favorable Wind: The Unusual Story Of A Submarine Under Sail And Its Cautionary Lessons For The Modern Navy,"Johnston, David, L.",Hardcover,60,0,60,555.55,US
9.78161E+12,Eurasia v. NATOstan,"Escobar, Pepe",Paperback,55,0,55,550.99,UK
9.78161E+12,"Operation Sea Lion: A Joint Critical Analysis, Or, How Hitler Could Have Won, If He Were More Joint","McCanne, Lt Col Randy",Paperback,43,0,43,545.5,US
9.78161E+12,The Russia-Georgia War,"Boufesis, Alexandros Fox",Hardcover,77,0,77,543.28,US
9.78161E+12,Thunder in its Courses: Essays on the Battlecruiser,"Worth, Richard",Hardcover,53,0,53,520.32,US
9.78161E+12,History of the Indian tribes of North America [Single-Volume Facsimile Edition]: with Biographical Sketches and Anecdotes of the Principal Chiefs,"McKenney, Thomas, L.",Hardcover,12,0,12,502.01,US
9.78161E+12,Raging Twenties: Great Power Politics Meets Techno-Feudalism,"Escobar, Pepe",Hardcover,43,0,43,497.69,UK
9.78161E+12,Rise of the Drones: Unmanned Systems and the Future of War,"U. S. House of Representatives, House Of",Paperback,53,0,53,490.04,UK
9.78193E+12,Building the PT Boats: An Illustrated History of U.S. Navy Torpedo Boat Construction in World War II,"Andruss Sr., Frank J.",Paperback,30,0,30,476.22,UK
9.78161E+12,PT Boats Behind The Scenes,"Andruss Sr., Frank J.",Hardcover,32,0,32,473.38,UK
9.78161E+12,Hitler's Malta Option: A Comparison of the Invasion of Crete (Operation Merkur) and the Proposed Invasion of Malta (Operation Hercules),"Kavanaugh, Stephen L. W.",Paperback,51,0,51,472.65,UK
